"Date","Price","Open","High","Low","Change %"
"Oct 01","4.242","4.242","4.242","4.242","-7.58"
"Sep 01","4.590","4.590","4.590","4.590","-5.17"
"Aug 01","4.840","4.840","4.840","4.840","-4.25"
"Jul 01","5.055","5.055","5.055","5.055","-5.48"
"Jun 01","5.348","5.348","5.348","5.348","-0.65"
"May 01","5.383","5.383","5.383","5.383","0.88"
"Apr 01","5.336","5.336","5.336","5.336","8.57"
"Mar 01","4.915","4.915","4.915","4.915","0.27"
"Feb 01","4.902","4.902","4.902","4.902","-2.49"
"Jan 01","5.027","5.027","5.027","5.027","-1.66"
"Dec 00","5.112","5.112","5.112","5.112","-6.66"
"Nov 00","5.477","5.477","5.477","5.477","-4.88"
"Oct 00","5.758","5.758","5.758","5.758","-0.86"
"Sep 00","5.808","5.808","5.808","5.808","1.41"
"Aug 00","5.727","5.727","5.727","5.727","-5.17"
"Jul 00","6.039","6.039","6.039","6.039","0.20"
"Jun 00","6.027","6.027","6.027","6.027","0.84"
"May 00","5.977","5.977","5.977","5.977","-3.88"
"Apr 00","6.218","6.218","6.218","6.218","3.60"
"Mar 00","6.002","6.002","6.002","6.002","-6.35"
"Feb 00","6.409","6.409","6.409","6.409","-3.80"
"Jan 00","6.662","6.662","6.662","6.662","3.53"
"Dec 99","6.435","6.435","6.435","6.435","3.91"
"Nov 99","6.193","6.193","6.193","6.193","2.74"
"Oct 99","6.028","6.028","6.028","6.028","2.50"
"Sep 99","5.881","5.881","5.881","5.881","-1.56"
"Aug 99","5.974","5.974","5.974","5.974","1.22"
"Jul 99","5.902","5.902","5.902","5.902","2.02"
"Jun 99","5.785","5.785","5.785","5.785","2.86"
"May 99","5.624","5.624","5.624","5.624","5.12"
"Apr 99","5.350","5.350","5.350","5.350","2.06"
"Mar 99","5.242","5.242","5.242","5.242","-0.98"
"Feb 99","5.294","5.294","5.294","5.294","13.78"
"Jan 99","4.653","4.653","4.653","4.653","-0.11"
"Dec 98","4.658","4.658","4.658","4.658","-1.27"
"Nov 98","4.718","4.718","4.718","4.718","2.50"
"Oct 98","4.603","4.603","4.603","4.603","3.93"
"Sep 98","4.429","4.429","4.429","4.429","-12.26"
"Aug 98","5.048","5.048","5.048","5.048","-8.12"
"Jul 98","5.494","5.494","5.494","5.494","0.81"
"Jun 98","5.450","5.450","5.450","5.450","-1.94"
"May 98","5.558","5.558","5.558","5.558","-4.50"
"Apr 98","5.820","5.820","5.820","5.820","2.86"
"Mar 98","5.658","5.658","5.658","5.658","0.60"
"Feb 98","5.624","5.624","5.624","5.624","1.96"
"Jan 98","5.516","5.516","5.516","5.516","-3.97"
"Dec 97","5.744","5.744","5.744","5.744","-2.31"
"Nov 97","5.880","5.880","5.880","5.880","0.77"
"Oct 97","5.835","5.835","5.835","5.835","-4.39"
"Sep 97","6.103","6.103","6.103","6.103","-3.72"
"Aug 97","6.339","6.339","6.339","6.339","5.42"
"Jul 97","6.013","6.013","6.013","6.013","-7.52"
"Jun 97","6.502","6.502","6.502","6.502","-2.42"
"May 97","6.663","6.663","6.663","6.663","-0.85"
"Apr 97","6.720","6.720","6.720","6.720","-2.71"
"Mar 97","6.907","6.907","6.907","6.907","5.35"
